ID,label,calories,fat,protein,carbohydrate,sugar,potassium
459,chervil,237.000,0.000,3.900,0.000,11.300,23.200
460,commerce,884.000,0.000,100.000,0.000,0.000,0.000
461,extruded,486.100,4.830,28.709,7.000,2.990,5.826
462,crisphead,14.000,1.970,0.140,0.000,1.200,0.900
463,cracker,441.356,37.570,17.224,89.000,4.029,8.937
464,twizzler,345.000,30.330,2.220,0.000,0.600,2.610
465,puddingtype,415.167,28.067,9.740,0.000,1.217,4.150
466,calcium,130.867,55.580,30.340,11.000,3.900,47.940
467,tilsit,340.000,0.000,25.980,102.000,0.000,24.410
468,fudgedipped,485.000,25.700,18.800,0.000,2.200,6.000
469,balance,464.500,5.380,51.543,33.000,0.200,1.530
470,mesquite,80.000,0.200,0.390,36.000,0.000,16.800
471,readyto,71.000,5.060,0.920,2.000,1.900,3.850
472,cane,273.500,70.700,0.050,0.000,0.050,0.000
473,broth,267.000,17.360,13.880,67.000,1.300,25.300
474,brewed,9.000,0.000,0.200,0.000,0.000,0.091
475,morinu,49.400,0.888,1.760,0.000,0.060,6.480
476,cone,340.400,21.066,8.910,21.000,1.640,5.728
477,mouse,92.500,0.000,0.600,0.000,0.000,5.600
478,municipal,0.000,0.000,0.000,0.000,0.000,0.000
479,brined,430.000,0.000,30.000,107.000,0.000,39.900
480,containing,27.000,5.000,0.000,0.000,0.000,0.000
481,toaster,386.537,29.257,10.200,26.000,1.834,4.446
482,dha,225.405,22.794,11.808,17.000,0.700,5.657
483,bottled,145.000,21.400,15.320,0.000,5.900,2.500
484,split,121.083,8.000,1.352,2.833,25.500,7.603
485,carnation,45.000,3.560,1.490,3.000,0.600,3.860
486,vegetable,900.000,17.510,100.000,76.000,10.900,20.700
487,milkshake,380.500,30.625,9.125,14.000,2.425,8.900
488,ringed,129.000,0.000,3.250,45.000,0.000,23.500
489,toasted,368.140,41.200,56.800,56.000,6.918,10.987
490,fireweed,73.500,0.000,1.775,0.000,8.300,3.855
491,bearded,363.833,0.000,99.600,56.167,0.000,38.530
492,boiled,65.006,11.010,29.790,1002.000,3.041,31.290
493,papaya,87.500,52.200,0.210,0.000,1.083,0.265
494,mayonnaisetype,263.000,4.340,19.000,26.000,0.000,0.900
495,welsh,34.000,2.180,0.400,0.000,2.400,1.900
496,jungle,514.000,44.200,25.300,1.000,0.800,3.800
497,hand,202.000,0.510,9.140,34.000,0.900,13.230
498,delight,359.000,24.463,4.900,0.000,13.300,7.000
499,garlic,217.375,5.547,25.100,11.000,3.900,5.613
500,supper,191.500,4.061,2.123,5.875,1.812,5.866
501,tuna,156.118,1.930,5.188,35.118,0.700,23.601
502,kid,236.100,1.672,12.864,28.800,1.030,11.809
503,butter,477.241,73.360,32.355,256.000,2.940,8.720
504,capn,401.800,41.976,5.766,0.000,2.580,4.990
505,crabapple,76.000,0.000,0.300,0.000,0.000,0.400
506,limburger,327.000,0.490,27.250,90.000,0.000,20.050
507,kiwifruit,60.500,9.985,0.540,0.000,2.500,1.185
508,reese,490.286,47.231,24.996,4.143,3.543,9.959
509,mother,425.519,29.678,17.176,45.000,14.300,5.989
510,smoked,216.491,3.200,13.866,62.830,2.200,19.075
511,indigo,364.000,22.200,3.400,0.000,7.100,7.700
512,kale,32.333,0.827,0.510,0.000,1.833,2.558
513,whitewinged,84.000,0.000,0.400,0.000,0.000,20.200
514,skipjack,117.500,0.000,1.150,53.500,0.000,25.105
515,propionate,261.333,8.430,1.696,0.000,2.444,9.624
516,human,70.000,6.890,4.380,14.000,0.000,1.030
517,campbell,56.506,2.011,1.744,4.306,1.091,2.235
518,sisymbrium,318.000,0.000,4.600,0.000,0.000,12.140
519,doubleacting,52.000,0.000,0.000,0.000,0.200,0.050
520,cellophane,351.000,0.000,0.060,0.000,0.500,0.160
521,pourable,884.000,0.000,100.000,0.000,0.000,0.000
522,elk,144.818,0.000,3.668,57.273,0.000,26.739
523,nog,74.000,9.840,1.640,0.000,0.000,2.460
524,khorasan,234.500,5.455,1.480,0.000,7.700,10.125
525,ham,165.301,7.980,61.860,53.994,4.600,17.101
526,sunflower,668.500,10.540,64.317,0.000,6.156,14.746
527,cherry,130.259,67.150,16.100,42.000,1.169,12.020
528,thick,209.333,8.713,9.013,10.333,1.400,6.284
529,royal,191.667,0.000,0.263,0.000,14.500,14.770
530,collard,33.833,0.333,0.540,0.000,3.533,2.845
531,spread,367.000,54.050,36.454,118.000,7.800,24.800
532,kelp,53.000,0.300,0.680,0.000,0.650,6.490
533,focaccia,249.000,1.750,7.890,0.000,1.800,8.770
534,easy,78.500,3.815,1.450,6.000,1.450,3.360
535,enchilada,158.625,2.157,8.258,18.000,1.613,6.150
536,carambola,31.000,3.980,0.330,0.000,2.800,1.040
537,lowsodium,151.354,26.680,39.270,100.000,6.900,41.600
538,boxed,379.000,9.610,4.820,7.000,3.200,13.860
539,confection,884.000,0.000,100.000,0.000,0.000,0.000
540,brunnen,0.000,0.000,0.000,0.000,0.000,0.000
541,fusion,391.000,14.452,9.700,0.000,1.300,3.900
542,margherita,230.000,3.300,8.400,17.000,3.800,12.800
543,boysenberry,69.000,3.445,0.190,0.000,3.950,1.045
544,gewurztraminer,94.500,0.000,0.000,0.000,0.000,0.070
545,shoulder,208.249,0.000,11.687,85.414,0.000,24.436
546,martha,397.500,29.610,9.695,1.500,2.200,6.115
547,flavoring,884.000,0.000,100.000,0.000,0.000,0.000
548,peppertype,41.000,0.000,0.100,0.000,0.000,0.120
549,hominy,161.333,1.820,1.193,13.000,2.483,4.782
550,lipton,18.000,4.345,0.000,0.000,0.000,0.125
551,acerola,27.500,2.250,0.300,0.000,0.700,0.400
552,soursop,66.000,13.540,0.300,0.000,3.300,1.000
553,meringue,276.500,11.930,10.800,49.000,0.600,2.650
554,sundried,236.000,20.312,6.615,4.000,13.000,8.812
555,fluoride,0.000,0.000,0.000,0.000,0.000,0.000
556,braunschweiger,333.333,0.633,29.483,172.667,0.100,14.317
557,tomatillo,32.000,3.930,1.020,0.000,1.900,0.960
558,tomatobased,235.000,7.870,9.450,20.000,1.600,10.240
559,taffy,436.000,54.840,11.765,4.500,1.150,1.915
560,nobake,265.250,0.000,14.650,29.000,0.750,3.800
561,topping,328.370,55.000,100.000,17.652,1.646,8.781
562,acai,45.000,10.570,0.000,0.000,0.000,0.000
563,cervalat,304.000,0.500,26.700,84.000,0.000,14.900
564,sponge,320.333,24.653,6.180,104.333,0.500,5.390
565,scrabble,466.000,0.600,17.300,12.000,2.600,10.900
566,hungarian,29.000,3.530,0.410,0.000,1.000,0.800
567,uncoated,435.429,28.920,17.610,1.000,4.386,7.864
568,okra,28.333,2.498,0.223,0.000,2.433,1.770
569,bottom,186.380,0.000,8.064,77.400,0.000,26.795
570,purple,71.429,12.369,0.700,0.000,10.400,0.654
571,ice,497.000,34.060,24.400,13.000,3.500,4.600
572,flounder,78.000,0.000,2.150,50.500,0.000,13.825
573,goddes,427.000,6.670,43.330,40.000,0.100,1.900
574,angelfood,293.667,30.613,0.457,0.000,0.733,6.133
575,jujube,183.000,0.000,0.650,0.000,0.000,2.450
576,bisque,74.600,11.900,1.920,4.600,0.480,1.438
577,tartar,249.600,3.144,10.282,20.800,0.700,7.004
578,peel,50.200,1.668,0.242,0.000,5.800,1.210
579,corn,232.578,77.590,100.000,72.000,79.000,4.574
580,pedialyte,10.000,2.450,0.000,0.000,0.000,0.000
581,icelandic,0.000,0.000,0.000,0.000,0.000,0.000
582,standardtype,491.000,4.700,30.151,0.000,1.943,6.037
583,nutramigen,243.375,24.621,12.617,0.000,0.000,6.832
584,borage,23.667,0.000,0.773,0.000,0.000,1.993
585,post,382.036,22.048,4.781,0.000,8.186,8.131
586,manufacturing,122.500,0.000,3.470,58.000,0.000,22.720
587,super,183.500,1.508,11.078,28.000,1.550,10.207
588,bamboo,17.250,3.000,0.285,0.000,1.400,1.845
589,breaded,261.848,5.430,14.499,64.152,4.300,15.763
590,oreo,320.500,28.595,13.580,7.500,1.650,4.375
591,plum,92.750,13.439,1.040,0.000,2.000,0.630
592,turbinado,399.000,99.190,0.000,0.000,0.000,0.000
593,submarine,195.667,2.703,8.270,24.333,0.867,11.673
594,vegeburger,114.000,0.800,1.200,0.000,2.600,22.200
595,wheatena,157.333,1.600,1.283,0.000,5.833,5.710
596,dinner,98.327,9.610,2.608,50.000,1.462,3.914
597,ensure,123.000,9.015,3.525,2.000,0.000,4.480
598,clementine,47.000,9.180,0.150,0.000,1.700,0.850
599,francoamerican,37.200,0.000,0.510,8.000,0.000,1.690
600,gingerbread,407.500,27.030,13.375,32.000,1.300,4.325
601,curry,157.000,3.253,6.023,8.000,53.200,6.997
602,yellowcake,413.000,43.900,8.100,0.000,0.000,3.800
603,flatbread,346.000,3.475,10.945,0.000,2.700,8.385
604,raised,266.000,0.000,17.050,67.000,1.600,22.940
605,ferb,56.000,0.790,1.590,4.000,0.800,2.380
606,unsalted,448.211,8.820,17.274,0.000,3.453,8.959
607,pepperpot,84.000,0.000,3.780,8.000,0.400,5.190
608,refiner,319.000,0.000,0.000,0.000,0.000,0.000
609,rockfish,99.500,0.000,1.480,55.500,0.000,20.295
610,sofrito,237.000,0.000,18.200,0.000,1.700,12.800
611,loin,197.881,0.220,10.410,75.081,0.000,24.923
612,beefalo,165.500,0.000,5.560,51.000,0.000,26.980
613,salisbury,57.000,2.450,1.840,6.000,0.800,2.860
614,carving,96.000,0.500,0.750,47.500,0.000,19.700
615,soy,386.544,56.000,100.000,6.000,17.500,88.320
616,refined,708.333,0.000,67.080,0.000,1.900,9.530
617,grandule,182.000,0.000,4.980,0.000,1.400,3.500
618,america,183.167,0.000,10.218,76.250,0.000,22.784
619,prosage,202.000,0.500,11.150,2.000,3.150,19.900
620,splash,25.500,5.829,0.000,0.000,0.400,1.220
621,gin,262.833,0.000,0.000,0.000,0.000,0.000
622,happy,453.000,26.600,18.100,0.000,13.700,8.100
623,raman,417.500,1.695,13.835,0.000,2.875,10.335
624,head,146.000,0.000,8.550,45.500,0.000,17.150
625,medium,180.200,2.026,7.670,6.000,11.800,4.696
626,farina,209.167,0.590,0.570,0.000,1.900,6.357
627,form,361.000,3.400,0.683,2.000,6.767,9.153
628,thurgau,76.000,0.000,0.000,0.000,0.000,0.070
629,fore,142.833,0.000,4.818,88.333,0.000,23.658
630,caramelcoated,415.500,49.275,10.300,0.000,4.500,5.100
631,marinara,113.800,4.900,4.054,16.600,1.460,5.058
632,heat,145.064,1.230,4.780,82.011,0.000,23.193
633,verde,42.500,4.875,1.225,0.000,0.950,0.565
634,uncle,346.000,1.560,11.600,0.000,20.300,15.980
635,removed,203.318,0.000,10.353,108.682,9.300,26.441
636,volteado,144.000,0.000,6.930,0.000,4.700,5.000
637,tempeh,194.500,0.000,11.090,0.000,0.000,18.365
638,inside,182.571,0.000,8.617,76.429,0.000,25.595
639,tasteeo,357.000,3.570,5.360,0.000,10.700,10.710
640,paprika,282.000,10.340,12.890,0.000,34.900,14.140
641,whiskey,207.923,97.300,0.100,0.000,0.100,0.600
642,phosphate,51.000,0.000,0.000,0.000,0.200,0.100
643,neufchatel,253.000,3.190,22.780,74.000,0.000,9.150
644,mighty,63.000,12.500,0.000,0.000,0.000,0.420
645,daddy,245.500,4.300,9.070,9.000,3.400,13.760
646,average,18.000,2.630,0.200,0.000,1.200,0.880
647,moderna,464.000,10.410,19.500,0.000,2.400,7.190
648,trio,224.000,2.300,8.300,23.000,3.900,12.700
649,rotisserie,211.792,4.000,12.753,120.458,0.400,23.779
650,shin,156.000,0.000,5.865,72.500,0.000,25.780
651,classic,230.545,63.640,6.986,95.000,1.341,11.076
652,locust,332.000,0.000,0.500,0.000,77.300,4.600
653,crumble,240.737,21.700,12.179,71.947,16.800,25.678
654,cobbler,70.000,10.967,0.100,0.000,0.533,0.300
655,trix,383.000,28.500,4.050,0.000,4.400,5.200
656,fashioned,331.071,22.497,12.886,61.000,1.486,5.036
657,cacao,568.250,38.685,36.105,6.000,8.275,5.970
658,vpp,236.000,0.000,16.710,35.500,1.350,15.425
659,microwaving,71.000,0.270,1.520,0.000,1.700,2.540
660,smelt,202.333,0.000,7.807,136.333,0.000,32.140
661,keebler,482.961,25.823,21.326,45.000,2.707,5.709
662,stake,136.500,0.600,6.700,1.000,2.300,10.200
663,tip,141.475,1.040,5.464,59.475,1.900,21.362
664,topped,147.200,0.000,7.522,7.600,0.000,4.644
665,cocacola,32.000,6.110,0.050,0.000,0.000,0.000
666,pakchoi,12.333,0.947,0.173,0.000,1.000,1.540
667,pediasure,99.000,9.050,4.735,2.000,0.250,2.830
668,topper,476.000,9.900,19.333,0.000,2.933,7.200
669,whey,236.000,74.460,5.130,205.000,3.100,78.130
670,leek,321.000,2.030,2.100,0.000,10.400,15.200
671,cerealbar,372.000,36.842,8.346,6.000,2.540,5.996
672,tamale,179.400,7.420,7.812,22.200,2.840,7.858
673,klondike,207.250,15.545,6.208,5.250,4.625,4.375
674,chicknstrip,228.000,1.240,11.200,56.000,0.900,21.400
675,garland,21.333,1.340,0.247,0.000,2.533,2.213
676,brownandserve,310.000,5.550,6.470,4.000,2.000,10.860
677,diet,333.000,1.818,33.300,24.000,0.000,0.900
678,radicchio,23.000,0.600,0.250,0.000,0.900,1.430
679,omega,469.000,2.690,52.565,28.000,0.100,0.830
680,tahitian,44.000,0.000,0.777,0.000,0.000,3.703
681,dulce,405.000,26.918,13.566,30.000,7.300,7.334
682,caraway,354.500,0.320,21.895,46.500,19.000,22.475
683,potato,174.161,27.250,37.000,95.000,2.588,3.269
684,cottonseed,729.000,0.000,74.710,100.000,5.500,49.830
685,navel,49.000,8.500,0.150,0.000,2.200,0.910
686,lowiron,212.700,23.043,11.415,17.000,0.000,4.591
687,time,155.500,2.980,0.707,0.000,2.017,5.050
688,orangegrapefruit,43.000,10.180,0.100,0.000,0.100,0.600
689,steelhead,270.500,0.000,8.160,143.000,0.000,49.190
690,chain,285.455,3.248,12.892,26.091,2.255,11.951
691,oilpopped,527.667,0.333,33.250,0.000,9.367,8.430
692,mild,261.909,0.000,15.749,112.000,1.000,21.725
693,supplement,249.000,3.088,8.822,21.000,2.825,25.903
694,skim,78.625,3.646,15.920,64.000,0.000,7.381
695,claret,83.000,0.000,0.000,0.000,0.000,0.070
696,skin,214.655,19.870,13.104,78.431,7.900,18.459
697,leche,339.750,28.872,10.957,29.000,7.300,5.410
698,mill,385.704,28.385,6.755,0.000,7.978,7.113
699,ros,235.906,23.696,12.811,17.000,0.500,5.603
700,milk,178.070,81.820,35.730,116.000,7.100,50.000
701,chocula,383.000,33.090,4.690,0.000,5.000,5.400
702,grape,69.000,10.161,9.800,0.000,11.000,5.600
703,zone,422.000,27.000,14.000,8.000,2.000,30.000
704,muscadine,57.000,0.000,0.470,0.000,3.900,0.810
705,gerber,296.750,32.264,12.555,13.000,7.800,5.581
706,sitka,116.000,0.000,2.660,18.000,0.000,21.500
707,buzzer,395.000,37.400,2.140,1.000,2.900,6.300
708,melon,26.000,8.120,1.260,0.000,0.944,0.794
709,southwest,206.600,50.700,8.700,2.000,8.840,3.024
710,brown,296.083,97.020,37.630,66.000,3.428,6.109
711,icing,523.000,26.325,32.368,93.000,14.900,3.275
712,yeast,288.800,12.500,9.646,30.000,26.900,18.032
713,brownie,417.100,24.399,14.368,73.000,11.100,4.496
714,vegan,132.000,0.400,3.400,0.000,5.200,16.300
715,choice,222.982,2.130,13.425,79.982,1.900,24.275
716,homestlye,49.000,0.410,1.630,4.000,0.800,2.450
717,plantain,262.800,11.062,29.590,0.000,2.960,1.458
718,cook,155.500,2.980,0.707,0.000,2.017,5.050
719,minute,165.273,2.980,0.719,0.000,1.991,5.193
720,cool,36.000,9.090,0.000,0.000,0.000,0.000
721,carignane,74.000,0.000,0.000,0.000,0.000,0.070
722,nectar,57.000,13.464,0.073,0.000,0.555,0.188
723,edam,357.000,1.430,27.800,89.000,0.000,24.990
724,hawaii,77.000,0.310,0.087,0.000,2.500,1.600
725,gum,280.500,70.000,0.350,0.000,77.300,4.600
726,loganberry,55.000,7.700,0.310,0.000,5.300,1.520
727,crustacean,101.577,6.250,12.280,109.038,0.500,18.598
728,eclair,287.500,19.425,12.710,56.500,1.500,4.405
729,pinon,541.000,0.000,34.080,0.000,43.400,7.410
730,subway,196.667,2.703,8.270,24.333,0.867,11.673
731,proteinfortified,269.250,0.000,1.220,0.000,1.550,14.645
732,quick,227.133,0.545,6.870,0.000,3.680,6.460
733,woven,418.000,0.500,11.650,0.000,12.200,10.550
734,round,168.218,4.590,6.094,71.886,3.500,26.090
735,pork,226.775,24.730,14.968,2552.000,5.900,20.061
736,heinz,140.000,8.660,4.015,24.500,1.400,2.745
737,seasoning,233.529,18.760,9.929,84.235,18.800,18.133
738,bananastrawberry,88.000,10.590,1.180,0.000,0.600,2.350
739,prairie,142.500,2.780,0.340,0.000,7.600,2.130
740,cranberryapple,41.000,9.550,0.055,0.000,0.050,0.050
741,dried,360.009,74.460,79.550,2307.000,70.100,84.630
742,frankfurter,235.632,2.850,18.613,54.895,4.600,11.572
743,bake,193.091,3.863,2.462,4.273,1.855,5.275
744,port,352.000,0.570,28.200,123.000,0.000,23.780
745,substitute,233.188,73.400,9.380,572.000,23.300,55.500
746,menhaden,902.000,0.000,100.000,510.500,0.000,0.000
747,chimichanga,227.750,0.000,10.985,16.500,0.000,9.978
748,mungo,183.667,1.340,0.913,0.000,10.367,13.430
749,fillet,203.444,0.800,9.040,43.889,6.100,18.661
750,health,258.000,14.960,1.950,0.000,7.633,8.970
751,highfructose,281.000,75.650,0.000,0.000,0.000,0.000
752,boost,92.000,8.880,2.700,2.000,0.600,3.005
753,filled,349.846,24.027,17.325,66.000,1.538,4.376
754,phinea,56.000,0.790,1.590,4.000,0.800,2.380
755,breadnut,292.000,0.000,1.335,0.000,7.450,7.295
756,snackbar,336.000,30.215,11.730,2.000,4.900,6.965
757,petsai,14.667,1.410,0.180,0.000,1.533,1.400
758,peeled,192.333,1.380,1.773,0.000,0.700,2.410
759,french,226.776,35.110,70.200,116.000,25.200,3.915
760,lemonlime,37.667,8.490,0.023,0.000,0.000,0.047
761,goldfish,63.000,0.790,1.590,4.000,0.800,2.380
762,sulfured,171.889,81.130,0.376,0.000,4.144,1.773
763,frosting,396.321,80.440,100.000,93.000,14.900,2.524
764,box,331.667,34.060,13.353,8.000,1.667,7.897
765,boy,239.000,2.490,18.170,104.000,0.200,13.450
766,italianstyle,41.000,1.020,1.020,5.000,0.600,2.655
767,buco,169.500,0.000,6.140,92.000,0.000,28.530
768,canadian,166.714,59.920,3.114,168.000,36.700,13.704
769,strudel,329.000,23.517,11.000,6.000,1.633,4.233
770,hifat,482.500,1.540,23.710,0.000,31.850,16.800
771,squarecut,241.000,0.000,16.881,71.875,0.000,22.166
772,muenster,319.500,2.310,23.820,79.500,0.000,24.055
773,sprouted,72.241,4.130,7.100,0.000,1.900,6.517
774,cinnamon,374.810,21.070,10.172,114.000,53.100,7.537
775,boo,386.000,27.290,4.300,0.000,4.200,5.500
776,raccoon,255.000,0.000,14.500,97.000,0.000,29.200
777,caramello,462.000,56.920,21.190,27.000,1.200,6.190
778,extra,154.023,46.000,36.610,146.000,3.100,11.373
779,radish,271.000,37.320,2.530,0.000,23.900,7.900
780,nonalcoholic,287.000,11.227,0.120,0.000,0.000,0.263
781,puffed,379.000,43.700,1.942,0.000,3.900,10.102
782,frankenberry,386.000,27.290,4.300,0.000,4.200,5.500
783,ucuhuba,884.000,0.000,100.000,0.000,0.000,0.000
784,carobflavor,223.500,0.000,1.655,5.000,4.200,2.480
785,unfortified,58.500,5.925,1.640,0.000,0.500,2.765
786,anejo,373.000,4.630,29.980,105.000,0.000,21.440
787,vineyard,342.000,23.390,0.800,0.000,5.000,8.690
788,creamy,259.652,63.100,54.170,35.000,18.500,24.470
789,jam,217.333,43.237,0.190,0.000,1.300,0.457
790,black,149.889,11.760,59.330,588.000,5.793,8.392
791,australian,246.739,0.000,18.105,71.500,0.000,19.969
792,restaurantprepared,29.250,0.000,2.000,2.000,0.000,3.200
793,club,380.533,8.050,16.628,46.000,1.920,8.689
794,oregon,197.500,0.215,0.710,0.000,10.750,4.295
795,chocolate,371.400,28.688,15.839,140.000,35.200,5.633
796,sparerib,283.333,0.000,21.365,88.333,0.000,21.492
797,carissa,62.000,0.000,1.300,0.000,0.000,0.500
798,olive,299.143,5.200,100.000,71.000,1.400,5.501
799,beluga,336.167,0.000,100.000,122.000,0.000,25.560
800,spearmint,164.500,0.000,3.380,0.000,18.300,11.610
801,golean,360.143,24.029,6.284,6.000,14.014,19.677
802,edible,233.000,0.000,13.100,87.500,0.000,28.750
803,fortified,217.233,42.000,51.470,100.000,10.100,8.420
804,cap,183.818,0.000,9.524,72.682,0.000,23.774
805,decker,260.000,1.630,13.700,34.000,1.400,12.055
806,soup,446.000,17.510,24.100,74.000,7.600,3.040
807,sour,143.048,97.300,19.730,52.000,9.800,10.100
808,meatball,161.083,3.897,7.219,66.000,2.283,9.096
809,toffee,547.500,61.680,32.465,78.500,0.650,2.100
810,pickle,124.077,29.130,34.000,80.000,1.208,11.230
811,oiko,91.667,11.343,2.920,13.000,0.633,8.133
812,heart,183.759,28.700,4.581,359.000,13.700,15.547
813,ladyfinger,364.000,12.695,9.100,221.000,1.000,10.600
814,chip,461.542,40.300,21.567,70.000,4.020,6.507
815,agent,884.000,0.000,100.000,0.000,26.900,40.440
816,chik,169.000,1.420,6.040,0.600,2.700,12.940
817,matzo,382.000,0.290,2.225,83.000,5.650,11.350
818,battered,244.857,0.240,13.169,51.143,0.543,13.193
819,saucette,219.000,0.200,15.200,2.000,2.800,15.000
820,chia,486.000,0.000,30.740,0.000,34.400,16.540
821,biscuittype,346.000,0.000,14.200,3.000,0.000,6.100
822,pink,131.529,46.460,6.050,83.000,12.700,11.675
823,savoy,25.000,2.270,0.093,0.000,2.900,1.867
824,jumbosuper,81.000,0.000,6.870,0.000,2.500,0.970
825,winter,515.000,35.800,26.000,0.000,3.312,12.610
826,bunuelo,462.000,12.240,26.240,0.000,1.500,8.020
827,reesestick,521.000,40.330,31.340,6.000,3.300,9.530
828,cranenergy,15.000,3.750,0.000,0.000,0.000,0.000
829,sundae,255.444,13.927,52.910,11.111,3.300,28.040
830,durian,147.000,0.000,5.330,0.000,3.800,1.470
831,beat,102.500,0.500,9.600,0.000,0.000,0.000
832,ovaltine,369.333,72.730,0.000,0.000,0.000,0.000
833,flank,179.556,0.000,8.213,69.722,0.000,25.087
834,purslane,18.667,0.000,0.247,0.000,0.000,1.670
835,fordhook,104.000,1.357,0.343,0.000,5.700,6.180
836,flavored,195.900,17.458,21.470,156.000,6.200,26.300
837,product,173.565,56.000,100.000,29.348,4.300,11.052
838,explorer,366.000,21.200,5.700,0.000,10.200,5.600
839,cocktail,78.733,11.875,1.050,0.000,0.727,0.419
840,southern,297.444,15.656,25.500,7.000,4.922,7.918
841,gelatin,230.444,86.040,0.100,0.000,0.100,85.600
842,mac,245.500,3.835,13.265,35.500,1.650,12.305
843,nondairy,827.333,0.000,93.400,0.000,0.000,1.900
844,loaved,308.000,0.000,26.200,64.000,0.000,14.400
845,scalloped,156.750,0.000,4.062,8.500,3.375,3.907
846,dove,426.333,33.907,25.723,116.000,3.333,11.677
847,grow,289.000,29.445,15.595,0.000,0.000,8.665
848,jellyfish,36.000,0.000,1.400,5.000,0.000,5.500
849,natural,173.405,47.620,5.354,39.643,10.200,14.744
850,liquid,884.000,76.000,100.000,55.000,18.100,22.760
851,brussel,40.000,1.640,0.415,0.000,3.500,3.257
852,benecol,357.000,0.000,38.710,0.000,0.000,0.000
853,mango,64.667,9.496,3.000,11.000,6.000,5.300
854,gumboot,83.000,0.000,1.600,0.000,0.000,17.100
855,tahini,591.000,0.490,52.802,0.000,8.150,17.540
856,pulled,168.000,15.200,4.420,35.000,1.200,13.190
857,typical,884.000,0.000,100.000,0.000,0.000,0.000
858,serving,88.000,10.590,1.760,0.000,0.600,2.940
859,devilfish,97.000,0.000,5.300,0.000,0.000,11.700
860,willow,357.000,0.000,31.300,0.000,0.000,4.350
861,goodnes,205.500,13.350,1.135,0.000,5.250,5.740
862,midnight,443.000,57.810,17.500,10.000,2.900,3.200
863,fondant,369.500,80.160,4.660,0.000,1.050,1.100
864,stability,884.000,0.000,100.000,0.000,0.000,0.000
865,brain,156.462,0.000,11.528,2324.615,0.000,12.237
866,chickpea,194.000,4.761,3.728,1.000,7.756,11.112
867,shake,200.250,11.861,5.848,9.083,18.200,53.570
868,cold,410.500,1.590,99.980,29.500,0.600,10.203
869,striped,122.000,0.000,3.493,73.750,0.000,21.155
870,cola,41.000,10.750,0.030,0.000,0.000,0.120
871,sazon,0.000,0.000,0.000,0.000,0.000,0.000
872,farmed,135.083,0.000,6.192,65.750,0.000,17.508
873,thank,491.000,28.900,21.600,0.000,1.800,4.600
874,smoothie,57.571,11.266,0.180,0.000,2.900,0.550
875,maiz,364.000,0.000,5.090,0.000,8.400,8.750
876,gatorade,388.000,80.500,1.230,0.000,0.000,0.050
877,creamsicle,60.500,1.590,1.470,1.500,5.550,2.530
878,stewing,210.000,0.000,11.912,114.500,0.000,23.839
879,tonic,34.000,8.800,0.000,0.000,0.000,0.000
880,raviolio,106.000,3.570,3.170,8.000,1.600,4.370
881,sweetened,196.049,95.290,64.530,34.000,16.300,7.910
882,popover,371.000,0.000,4.300,0.000,0.000,10.400
883,wyethayerst,235.667,24.463,12.700,32.000,0.000,5.883
884,refrigerated,343.400,38.040,13.398,32.000,1.750,6.181
885,half,208.984,5.000,11.229,81.097,0.000,24.134
886,molass,389.800,40.638,10.244,12.400,0.860,3.524
887,mocha,249.000,21.195,7.325,0.000,2.400,5.530
888,sweetener,185.846,92.700,13.210,24.000,9.400,25.000
889,linoleic,884.000,0.000,100.000,0.000,0.000,0.000
890,drop,94.500,35.045,0.405,11.500,9.200,0.580
891,midoleic,884.000,0.000,100.000,0.000,0.000,0.000
892,unilever,268.000,21.520,8.963,4.667,12.633,13.107
893,lowsalt,391.000,13.040,14.556,44.000,4.000,11.222
894,quarter,185.429,5.130,8.769,47.429,1.229,17.584
895,turtle,155.800,2.120,0.478,50.000,7.800,12.688
896,square,390.545,23.616,52.310,2.000,38.500,7.229
897,grouse,112.000,0.000,0.880,40.000,0.000,25.940
898,lowcarbohydrate,226.500,6.350,12.700,33.000,4.800,3.485
899,ea,395.000,22.805,4.350,102.500,0.000,57.145
900,plant,605.000,0.000,70.950,23.000,0.000,0.130
901,salada,1.000,0.000,0.000,0.000,0.000,0.190
902,goose,335.000,0.940,28.439,852.000,0.000,17.009
903,subcutaneou,630.000,0.000,66.546,67.857,0.000,7.630
904,girl,501.750,30.550,24.675,2.000,2.513,5.475
905,chokecherry,159.000,11.795,1.335,0.000,18.500,2.965
906,sunrise,110.000,0.000,0.100,0.000,0.000,0.300
907,microwave,377.100,11.610,16.185,156.000,7.870,9.730
908,canada,133.000,0.000,4.020,80.000,0.000,24.310
909,jackson,461.000,32.750,16.750,8.500,1.250,5.350
910,precooked,295.333,1.270,16.868,36.833,0.750,10.723
911,calistoga,0.000,0.000,0.000,0.000,0.000,0.000
912,blt,224.000,5.365,7.480,34.000,1.400,15.700
913,maraschino,165.000,38.770,0.210,0.000,3.200,0.220
914,dehydrated,264.750,81.130,62.400,67.000,23.600,4.424
915,wholewheat,294.316,8.790,4.498,61.000,6.653,10.493
916,sheanut,884.000,0.000,100.000,0.000,0.000,0.000
917,deglet,282.000,63.350,0.390,0.000,8.000,2.450
918,cobb,196.000,7.790,14.450,13.000,0.300,1.690
919,dutch,229.600,18.810,9.992,60.000,1.460,12.000
920,spraystyle,165.000,14.290,10.750,0.000,0.300,0.160
921,formula,241.769,25.083,12.600,32.000,0.700,5.937
