ID,label,calories,fat,protein,carbohydrate,sugar,potassium
106,household,888.000,0.000,99.993,56.000,0.000,0.000
107,preserving,12.667,0.787,0.200,0.000,1.633,0.400
108,barbera,85.000,0.000,0.000,0.000,0.000,0.070
109,crouton,436.000,2.205,12.450,3.500,5.050,11.350
110,cotija,366.000,0.000,30.000,100.000,0.000,20.000
111,jumble,469.000,31.600,18.100,6.000,1.400,5.700
112,pinto,118.429,2.110,0.647,0.000,5.186,7.249
113,mcmuffin,278.333,1.877,16.183,119.333,1.133,12.963
114,nutz,403.000,16.900,12.190,0.000,4.300,20.750
115,chanterelle,38.000,1.160,0.530,0.000,3.800,1.490
116,lowquadrant,186.000,0.000,10.170,121.000,0.000,23.630
117,machine,64.500,11.875,0.000,0.000,1.450,0.625
118,backfat,812.000,0.000,88.690,57.000,0.000,2.920
119,hot,189.711,65.000,28.700,74.000,28.700,6.879
120,sakwavikaviki,276.000,2.970,1.400,0.000,3.400,7.830
121,dannon,55.000,6.806,2.920,13.000,0.380,4.880
122,fudge,452.439,35.868,20.066,42.000,2.872,4.436
123,semisoft,364.000,0.120,29.840,79.000,0.000,21.580
124,pizza,270.185,3.631,11.410,21.395,2.531,11.889
125,goober,512.000,43.000,34.000,12.000,9.700,9.700
126,yellowfleshed,120.667,0.303,2.587,0.000,2.267,2.167
127,couscou,244.000,0.050,0.400,0.000,3.200,8.275
128,chump,145.333,0.000,6.067,70.833,0.000,22.655
129,salsa,381.000,4.138,9.510,9.000,15.300,11.000
130,straightneck,20.571,1.956,0.237,0.000,1.229,1.013
131,chilled,531.000,13.023,36.200,39.000,1.500,1.753
132,bowhead,745.000,0.000,80.867,68.000,0.000,12.600
133,croissant,317.125,11.350,18.062,98.000,1.325,10.111
134,fungi,284.000,0.000,0.730,0.000,70.100,9.250
135,greek,93.500,7.643,6.600,13.000,5.900,8.061
136,poppyseed,567.000,21.130,47.877,15.000,1.700,5.600
137,green,427.000,38.480,43.330,50.000,25.500,23.820
138,ultimate,251.000,2.987,9.740,25.750,2.125,12.010
139,panbroil,139.786,1.539,5.397,62.714,0.000,21.402
140,tipnuk,159.000,0.000,10.600,0.000,0.000,15.900
141,wing,222.658,2.800,12.062,98.105,4.800,24.168
142,wine,82.297,7.780,0.000,0.000,0.000,0.500
143,popsicle,51.000,8.045,0.120,0.000,0.000,0.000
144,incaparina,379.000,0.000,5.580,0.000,9.900,21.750
145,muffin,305.048,40.000,7.977,168.000,2.807,7.376
146,roquefort,230.600,3.468,51.100,90.000,1.800,21.540
147,fruitfilled,342.000,45.240,0.900,0.000,7.400,5.900
148,cranberryorange,178.000,0.000,0.100,0.000,0.000,0.300
149,whitener,609.667,31.327,47.270,0.000,4.800,9.000
150,oven,159.833,5.100,6.235,37.000,3.200,13.166
151,yellowfin,119.500,0.000,0.540,43.000,0.000,26.775
152,zevia,0.000,0.000,0.000,0.000,0.000,0.000
153,chihuahua,374.000,5.560,29.680,105.000,0.000,21.560
154,cres,26.000,3.540,0.633,0.000,0.833,2.133
155,avocado,332.750,2.420,100.000,0.000,4.775,1.547
156,denver,198.583,0.000,11.813,81.167,0.000,22.792
157,klamath,197.500,0.215,0.710,0.000,10.750,4.295
158,durum,339.000,0.000,2.470,0.000,0.000,13.680
159,fig,136.875,22.816,7.300,0.000,3.462,1.340
160,decaffeinated,206.333,95.290,13.210,0.000,8.500,20.210
161,budweiser,34.500,0.000,0.000,0.000,0.000,0.280
162,savory,147.250,10.600,10.000,2.500,45.700,4.684
163,blackeye,128.273,2.898,0.691,7.000,5.727,7.428
164,strength,22.000,2.400,0.320,0.000,0.400,0.460
165,butterfinger,462.000,47.115,18.615,0.000,1.850,6.035
166,coffee,258.960,59.000,99.500,66.000,23.300,14.420
167,pillowpak,243.000,0.000,11.520,123.000,0.000,30.990
168,combination,27.500,3.845,0.575,0.000,1.150,0.770
169,grand,380.500,28.250,15.335,6.000,1.250,4.330
170,school,240.400,5.694,8.776,12.400,3.340,12.426
171,break,484.500,53.325,23.315,6.500,3.250,8.795
172,braised,235.164,0.000,12.571,3100.000,0.000,29.055
173,emitsunomata,145.000,0.000,0.780,16.500,20.600,8.600
174,silver,140.000,0.000,5.570,58.000,0.000,22.560
175,bread,287.860,29.450,100.000,59.000,4.333,9.223
176,presliced,437.500,0.415,37.180,49.500,0.000,23.225
177,degermed,366.429,1.011,1.690,0.000,4.529,7.264
178,swisswurst,307.000,0.000,27.370,61.000,0.000,12.690
179,ruth,459.000,54.000,21.600,0.000,2.000,5.400
180,meat,193.216,43.170,10.432,3100.000,17.500,21.897
181,thyme,188.500,0.855,4.555,0.000,25.500,7.335
182,crunchy,394.200,15.249,14.343,38.000,5.380,9.161
183,chuck,203.105,0.000,11.144,83.049,0.000,24.928
184,spoonsize,347.333,22.300,2.030,0.000,12.233,10.163
185,filling,448.118,20.299,25.254,93.000,14.900,5.582
186,mead,251.133,26.976,12.971,17.000,0.000,6.332
187,roast,188.078,3.560,9.589,73.053,3.100,24.173
188,european,201.385,15.480,3.638,85.000,20.000,9.893
189,rosemary,231.000,0.000,10.540,0.000,28.350,4.095
190,meal,229.957,25.000,48.000,4.217,10.100,49.200
191,bone,197.667,2.880,84.400,63.389,0.800,22.398
192,fruitcake,324.000,27.420,9.100,5.000,3.700,2.900
193,allspice,263.000,0.000,8.690,0.000,21.600,6.090
194,moose,109.800,0.000,1.720,389.000,0.500,20.958
195,waffle,284.853,10.025,8.702,69.000,13.200,6.305
196,kix,365.667,16.320,3.850,0.000,7.633,6.760
197,turnip,156.000,4.740,0.265,0.000,3.047,1.831
198,navy,136.143,3.880,0.784,0.000,15.300,9.516
199,extract,153.200,14.400,0.900,0.000,6.500,23.880
200,whip,84.000,10.300,2.700,9.000,1.900,0.200
201,allbran,345.200,16.818,9.960,0.000,24.360,9.888
202,applecinnamon,258.000,14.050,2.005,0.000,2.800,8.390
203,menthe,371.000,41.600,0.300,0.000,0.000,0.000
204,mayan,125.000,7.000,3.200,0.000,3.000,3.000
205,george,311.000,0.000,3.450,0.000,2.700,10.650
206,content,172.000,0.000,8.890,68.667,0.000,21.793
207,nib,347.000,51.350,2.640,0.000,0.600,2.300
208,amaranth,371.000,1.690,7.020,0.000,6.700,4.808
