munch	set(['28034', '19295'])
pork	set(['35237', '10109', '10105', '10104', '43378', '10106', '10101', '10100', '10103', '10102', '10899', '10898', '16065', '10893', '10892', '10891', '10890', '10895', '10894', '19408', '10206', '10207', '10204', '10205', '10202', '10203', '10200', '10201', '10208', '10209', '10196', '10197', '10194', '10195', '10192', '10193', '10961', '10960', '10198', '10199', '43297', '10804', '10805', '10802', '10803', '10134', '07040', '07041', '32013', '10107', '07957', '07223', '07952', '07225', '07227', '07959', '10141', '10140', '10142', '10146', '10149', '10028', '10029', '10026', '10027', '10024', '10025', '10022', '10023', '10020', '10021', '10169', '10168', '22972', '42129', '10163', '10093', '10097', '10096', '10094', '10099', '10098', '07008', '07001', '07002', '07003', '07004', '07006', '18637', '10938', '10939', '10934', '10935', '10936', '10937', '10931', '10932', '10933', '07918', '07913', '07916', '07917', '07078', '07075', '07074', '07077', '07076', '07071', '07073', '07072', '10062', '10063', '10060', '10061', '10066', '10067', '10064', '10065', '10068', '10069', '10884', '10885', '10886', '10887', '10880', '10881', '10882', '10883', '10116', '10117', '10114', '10115', '10112', '10889', '10110', '10962', '06404', '10972', '10973', '10974', '10975', '10976', '10977', '10978', '10979', '10879', '10878', '10986', '10871', '10870', '10873', '10872', '10875', '10874', '10877', '10876', '07034', '07037', '07036', '07038', '06321', '10905', '10904', '10907', '10906', '10901', '10900', '10903', '10902', '10909', '10908', '07960', '07967', '07966', '07965', '07045', '10990', '10858', '10152', '10153', '10150', '10158', '07247', '10019', '10018', '07240', '10013', '10012', '10011', '10010', '10017', '10016', '07248', '10014', '10088', '10089', '10084', '10085', '10086', '10087', '10080', '10081', '10082', '10083', '16201', '10949', '10948', '10940', '10943', '10942', '10945', '10944', '10947', '10946', '07069', '07064', '07065', '07062', '07063', '07060', '07061', '10079', '10015', '10071', '10059', '10058', '10057', '10056', '10055', '10054', '10053', '10052', '10051', '10050', '07200', '07205', '42190', '07926', '07924', '07922', '07920', '07928', '10129', '10128', '10123', '10122', '10121', '10120', '07953', '07951', '10171', '06004', '10228', '10229', '10224', '10225', '10226', '10227', '10220', '10221', '10222', '10223', '10989', '10988', '43325', '10984', '43327', '43326', '10981', '10980', '10983', '10982', '16011', '16010', '10868', '10869', '10862', '10863', '10860', '10861', '10866', '10867', '10864', '10865', '07023', '07021', '10916', '10917', '10914', '10915', '10912', '10913', '10910', '10911', '10918', '10919', '07091', '07090', '42241', '10985', '10987', '10004', '10005', '10006', '10007', '10000', '10001', '10002', '10003', '10167', '10166', '10165', '10164', '10008', '10009', '07277', '07276', '22953', '36412', '36410', '10111', '10118', '10119', '10215', '10214', '10217', '10216', '10211', '10210', '10213', '10212', '10219', '10218', '10185', '10184', '10187', '10186', '10181', '10180', '10183', '10182', '10888', '10189', '10188', '10113', '10958', '10959', '10952', '10953', '10950', '10951', '10956', '10957', '10954', '10955', '07059', '07058', '07051', '07050', '07057', '07056', '10048', '07236', '07235', '07941', '07940', '07231', '10070', '10040', '10041', '10042', '10043', '10044', '10045', '10046', '10047', '42188', '07931', '07936', '07937', '07939', '06124', '10963', '10136', '10137', '10131', '10132', '10138', '10039', '10038', '10035', '10034', '10037', '10036', '10031', '10030', '10033', '10032', '19041', '10049', '10856', '10855', '10854', '10853', '10852', '10992', '10993', '10859', '10991', '16009', '36622', '03007', '07019', '07016', '07015', '07014', '07013', '07010', '10923', '10922', '10921', '10920', '10927', '10926', '10925', '10924', '10929', '10928', '07909', '07908', '07901', '07900', '07905', '07907', '07906', '07083', '07089', '10178', '10179', '10073', '10072', '10075', '10074', '10077', '10076', '10170', '10078', '10173', '10174', '10175', '10176', '10177', '22948', '42173'])
sustenance	set([])
spork	set([])
honeydew	set(['09184'])
popovers	set([])
jimmies	set([])
soy	set(['04648', '16417', '14035', '16253', '16252', '16251', '16250', '16257', '16256', '16255', '16254', '04665', '04664', '16259', '16258', '16419', '04667', '01067', '03966', '33872', '04666', '08580', '03987', '03982', '16416', '03926', '03925', '03941', '03940', '03928', '03867', '43114', '04654', '04655', '04650', '04651', '04652', '04653', '16125', '16124', '16538', '16121', '16123', '16122', '27059', '04700', '04701', '16424', '16425', '25025', '16420', '16421', '16422', '16423', '16418', '16415', '14067', '04649', '03859', '16115', '16116', '16117', '03939', '33870', '16118', '16119', '04699', '04668'])
tea	set(['14381', '35238', '14137', '14368', '18150', '14071', '14070', '14367', '14366', '14475', '14476', '14601', '35078', '14352', '14353', '14355', '14356', '14357', '14649', '14370', '14371', '14376', '14375', '14548', '28199', '14072', '14545', '14544'])
nut	set(['19101', '08243', '08081', '12078', '12077', '04646', '12071', '12095', '08646', '08645', '12176', '12177', '12175', '19406', '12179', '42297', '35207', '08491', '12060', '12061', '12062', '12063', '12065', '19866', '19062', '19104', '12665', '12098', '12143', '19301', '12140', '12147', '12145', '12144', '12149', '19367', '25053', '12588', '12586', '12585', '01240', '12142', '12652', '07930', '12094', '12097', '12096', '18247', '12093', '12154', '12155', '12156', '43506', '12099', '12151', '12152', '25048', '18994', '08684', '35052', '35053', '12644', '12117', '12643', '12129', '12087', '12084', '12085', '12121', '12120', '12122', '12088', '12738', '12632', '12635', '12637', '12638', '12737', '12563', '12565', '12567', '12138', '43031', '12130', '12131', '12137', '12135', '12132', '19822', '08614', '08615', '12104', '12101', '12100', '08592', '12109', '12108', '08045', '08261', '12059', '12058', '12195', '25015', '12110', '12086', '12695', '12114', '12115', '12116', '12128', '12118', '12119', '08057', '25006', '25008', '28159', '08670', '08676', '43245', '12167', '12127', '12204', '12206', '28158', '12200', '12202', '12203'])
almond	set(['19084', '19858', '14016', '08696', '19327', '08692', '25038', '04529', '25010', '12195', '12071', '14054', '08703', '12695', '12063', '19115', '08707', '08668', '08645', '12565', '19132', '12567', '19130', '28106', '18247', '19236', '28126', '12563', '19403', '08560', '08544', '18610', '19016', '19248', '12061', '12062', '08543', '08627', '42240', '19065', '08675', '43046', '12665', '12065', '28158', '19302', '19897', '12206', '19439', '42227', '08202'])
bacon	set(['06731', '21021', '04609', '06738', '21003', '21007', '07254', '21378', '43212', '03201', '10123', '16542', '06117', '21376', '43378', '10857', '03059', '10998', '21462', '10994', '21461', '43331', '06596', '21377', '16200', '18995', '06380', '10131', '06383', '21132', '21012', '07973', '08096', '21327', '21307', '16598', '21360', '16104', '21097', '10130', '07921', '10862', '10860', '10861', '10864'])
cantaloupe	set(['09181'])
endive	set(['11213'])
millet	set(['20032', '20647', '20031', '43483'])
chef	set([])
meringue	set(['18321', '18320'])
fried	set(['15168', '18319', '21464', '05300', '11408', '17406', '05012', '21229', '23470', '05016', '17398', '17405', '05093', '05092', '17400', '05097', '36012', '21471', '21470', '21472', '36416', '17364', '05067', '05063', '05068', '23465', '23468', '05089', '17418', '05081', '05086', '17384', '05085', '21468', '21469', '15021', '21466', '21467', '11360', '21465', '01128', '36604', '36605', '36602', '05017', '05072', '16129', '05077', '36612', '05076', '21457', '21456', '21059', '21058', '21130', '21459', '21458', '11359', '17368', '05002', '05003', '05007', '05008', '11296', '11295', '21047', '21043', '05102', '05101', '21048', '05106', '21440', '21441', '21442', '21443', '21444', '21445', '21446', '36029', '11409', '05036', '05035', '05031', '05030', '21138', '15150', '31029', '21035', '05058', '21036', '31023', '15158', '17357', '31027', '05050', '15096', '31024', '23433', '23432', '16429', '23439', '21435', '36016', '21437', '21436', '21431', '21430', '21433', '21432', '21439', '21438', '21434', '11395', '36024', '05021', '05049', '05044', '05040', '05059', '23422', '21426', '21427', '21424', '22958', '11403', '11402', '36008', '15156', '21428', '21429', '18444', '18445', '05054', '05292', '11407', '11406', '15176', '15173', '17376', '21425', '36033', '11411', '11412', '11394', '11391', '15011', '31030', '31031', '09446', '09447', '43410', '11842', '11841', '11840'])
toaster	set(['18497', '18494', '18479', '18478', '18490', '28182', '18477', '18476', '18997', '28193', '28192', '28163', '28164', '28165', '28167', '28168', '28169', '18938', '18939', '28180', '28181', '18481', '18482', '18486', '18487', '18488', '18489', '18998', '18361', '28171', '18362', '28177', '28176', '28175', '28174', '28173', '28172', '08494', '28170', '28179', '28178'])
turnip	set(['35201', '35200', '11889', '11890', '11893', '11891', '11568', '11569', '11570', '43387', '11892', '11577', '11576', '11575', '11574', '11564', '11565', '11566', '11567'])
dried	set(['35232', '09173', '15018', '11988', '12078', '12077', '11667', '02027', '11268', '11663', '02023', '02029', '12177', '12174', '12175', '09079', '12179', '25063', '09011', '09013', '09012', '09147', '12154', '02036', '01258', '01094', '12147', '12145', '19410', '12149', '11982', '02003', '12014', '02008', '12013', '12094', '09260', '09261', '35134', '09264', '44055', '09095', '09094', '12099', '09033', '09032', '35194', '09034', '35055', '19445', '19412', '12006', '19046', '19045', '12005', '02012', '12128', '12084', '09259', '01133', '09085', '01136', '01137', '01134', '01135', '35180', '35183', '35184', '12036', '02066', '09248', '12130', '09246', '09247', '11978', '35175', '35171', '13350', '12021', '12023', '11230', '11237', '01113', '01115', '12100', '12109', '12108', '11432', '02017', '43497', '35164', '35165', '09044', '35161', '09293', '09292', '09291', '02042', '02041', '12059', '12193', '12110', '12114', '35160', '35079', '09165', '09163', '01173', '35009', '12201'])
nutrient	set(['14558', '14436', '14119', '14557', '14264', '14316', '14267', '14310'])
pitabread	set([])
steak	set(['23363', '23365', '23364', '23369', '23516', '23517', '06438', '36615', '13452', '13598', '13905', '13906', '13907', '13900', '13869', '13903', '13863', '13909', '23098', '23541', '23540', '23547', '23097', '23096', '13439', '23064', '23060', '23061', '23149', '23148', '13492', '23144', '23143', '23142', '23141', '23140', '23326', '23325', '23324', '23323', '23322', '23321', '23320', '10149', '13493', '23244', '23245', '23246', '23241', '23242', '23243', '23392', '23393', '23390', '23391', '23394', '23395', '06384', '13647', '13649', '13648', '13889', '17348', '17345', '13500', '13501', '13502', '23221', '23630', '13948', '13949', '23059', '23058', '23509', '23055', '23057', '13943', '23051', '23050', '13946', '23052', '13474', '13232', '13477', '13470', '13473', '13478', '13479', '23201', '23202', '23304', '23592', '23593', '13935', '13934', '27048', '23610', '23617', '13930', '13933', '13932', '17400', '23657', '23116', '23117', '23110', '23111', '23112', '23656', '13481', '13483', '13482', '23118', '13484', '23121', '23120', '23271', '23270', '23374', '23279', '23371', '23372', '23373', '13398', '21263', '06403', '36607', '23162', '36608', '23056', '23169', '23168', '13491', '23554', '13970', '13977', '13979', '23124', '23655', '23654', '13874', '13875', '23123', '23122', '23088', '23089', '23080', '23086', '23087', '23084', '23085', '13449', '13448', '13445', '13444', '13447', '13446', '13441', '13440', '13443', '13442', '23158', '23150', '23151', '23152', '23153', '23154', '23155', '23156', '23157', '23333', '23334', '23335', '23339', '23231', '23230', '23232', '23309', '36013', '36011', '23308', '23589', '13650', '23344', '23341', '23340', '23343', '23342', '13067', '13066', '13065', '13893', '23588', '13891', '10084', '10085', '10086', '10080', '10081', '13069', '13068', '23307', '13969', '13898', '11411', '11412', '10945', '10946', '23519', '23048', '23049', '23046', '23047', '23044', '23045', '23042', '23043', '23040', '23041', '13401', '13404', '13407', '23605', '23606', '23607', '23600', '23601', '23608', '23609', '13929', '17405', '13927', '13924', '21267', '13923', '13920', '13921', '23163', '13499', '23165', '23164', '23167', '23166', '23280', '23281', '23282', '23283', '23266', '23267', '23303', '23302', '23305', '23611', '23268', '23269', '13902', '13931', '13868', '13908', '13862', '13971', '13523', '13520', '23636', '23545', '17337', '17336', '17335', '17332', '23521', '13963', '13961', '35174', '13968', '35176', '13351', '13352', '13354', '13356', '13359', '13293', '13294', '23295', '23294', '13459', '13456', '13454', '13455', '13871', '13453', '13450', '13451', '23002', '23003', '23000', '23001', '23006', '23007', '23004', '23005', '23008', '13872', '23228', '23229', '23187', '23186', '23222', '23223', '23188', '23226', '23227', '23224', '23225', '36000', '13896', '06454', '23062', '23063', '13894', '23356', '23354', '23355', '23352', '23353', '23351', '13070', '21411', '21006', '10082', '23370', '23278', '13000', '10953', '10956', '10957', '10954', '23079', '23078', '23077', '23076', '23075', '13413', '13410', '13918', '13912', '13917', '13915', '23172', '23173', '23170', '23171', '23176', '23177', '23174', '23175', '23178', '23179', '23119', '23318', '23319', '23312', '23313', '23310', '23311', '23316', '23317', '23314', '23315', '23381', '23383', '23382', '23385', '23384', '23387', '23386', '23389', '23388', '13231', '13236', '13235', '16522', '23194', '23627', '06462', '23196', '23625', '17072', '23193', '13519', '23533', '23109', '23108', '23536', '13959', '23103', '23102', '23100', '23107', '23106', '23105', '23104', '13342', '13469', '13468', '13463', '13460', '13467', '13466', '13465', '13464', '23039', '23038', '23037', '23033', '23032', '23031', '23030', '23217', '23216', '23215', '23214', '23213', '23219', '23218', '23587', '23585', '23584', '23583', '23628', '23629', '17074', '23195', '23624', '23197', '23622', '23192', '23621', '31030'])
quiche	set([])
yeast	set(['43406', '18374', '18375', '36416', '18955'])
bake	set(['22997', '18637', '22986', '22950', '22944', '22945', '22946', '22947', '22943', '22948', '22949'])
spaghetti	set(['20521', '06931', '20523', '20125', '03051', '03050', '22930', '20421', '20420', '22401', '22912', '36038', '36632', '11870', '36048', '36046', '36047', '20124', '06143', '20126', '20127', '20120', '20121', '20122', '20123', '20622', '11492', '11493', '20321', '06976', '36631', '36630', '36032'])
chicken	set(['05309', '43373', '06119', '06502', '05307', '21404', '21405', '21406', '21407', '21401', '21402', '21403', '06590', '05012', '06989', '06986', '06984', '06983', '05014', '06343', '05018', '06439', '06029', '06183', '05308', '06023', '06022', '06025', '06024', '36614', '36617', '36619', '36618', '21102', '06120', '06337', '06336', '06330', '07223', '06726', '05138', '06725', '05136', '05137', '05134', '05135', '05132', '05133', '05130', '05131', '05013', '22906', '05002', '05003', '05000', '05001', '05006', '05007', '05004', '05005', '05008', '05009', '21440', '21441', '21442', '21443', '07251', '21445', '07253', '07252', '21446', '22978', '27008', '22975', '27007', '36023', '36020', '36027', '36024', '05356', '05357', '05352', '05353', '05351', '22535', '06470', '05358', '05359', '21435', '21434', '21437', '21436', '21431', '21430', '21433', '21432', '21439', '21438', '06974', '06970', '03070', '03073', '03072', '03075', '03076', '07200', '05079', '05078', '03298', '05073', '05072', '03297', '05070', '05077', '05076', '05075', '07915', '42262', '21266', '05671', '05673', '05672', '05675', '05674', '05677', '05676', '05679', '05678', '21488', '05109', '21378', '07960', '27044', '07210', '21376', '21377', '21262', '07205', '06537', '18567', '05319', '05312', '05313', '05310', '05311', '05314', '21471', '21470', '21472', '06399', '05346', '36057', '06587', '36059', '36058', '06543', '05343', '05342', '06393', '06400', '06405', '06392', '07227', '21508', '05348', '36604', '06395', '07923', '05071', '32006', '05074', '21054', '06325', '06320', '06242', '06245', '06244', '06328', '43128', '07961', '05108', '21230', '05103', '05102', '05101', '05100', '05107', '05106', '05105', '05104', '06528', '05039', '05038', '05037', '05036', '05035', '05034', '05033', '05032', '05031', '05030', '05747', '05746', '05749', '05748', '06149', '05688', '21309', '07249', '36015', '36010', '21418', '06208', '05362', '05361', '21426', '05692', '21424', '05690', '21422', '21421', '07018', '21428', '21429', '06966', '03068', '03069', '21468', '06041', '06047', '43008', '06363', '06365', '43410', '21487', '21464', '21465', '06216', '06212', '06219', '05661', '06740', '05099', '05098', '07209', '05091', '05090', '05093', '05092', '05095', '05094', '05097', '05096', '05064', '05065', '05066', '05067', '05060', '05061', '05062', '05063', '05068', '05069', '07928', '05326', '05324', '05323', '05320', '06483', '06482', '04542', '06480', '06955', '05128', '07224', '22995', '21469', '22992', '22991', '22990', '21462', '21461', '21466', '21467', '22999', '22998', '03303', '06418', '06419', '06416', '06417', '06412', '06413', '07021', '07024', '03013', '03012', '03014', '06311', '06315', '06314', '03274', '05059', '05058', '05055', '05054', '05057', '05056', '05051', '05050', '05053', '05052', '06481', '07906', '05028', '05029', '05020', '05021', '05022', '05023', '05024', '05025', '05026', '05027', '06172', '07271', '21256', '07277', '27021', '27022', '05347', '21259', '22958', '36005', '22952', '22951', '22950', '22954', '05114', '05115', '05116', '05117', '05110', '05112', '05113', '05118', '05119', '05693', '21427', '05691', '05277', '21425', '21417', '05689', '05684', '05685', '05686', '05687', '05680', '05681', '05682', '05683', '06999', '07959', '06357', '06423', '06350', '06195', '06194', '06058', '06054', '06057', '07952', '32020', '07053', '21444', '07250', '05129', '07940', '07231', '06736', '05125', '05124', '05127', '05126', '05121', '05120', '05123', '05122', '05088', '05089', '05082', '05083', '05080', '05081', '05086', '05087', '05084', '05085', '05011', '05010', '07932', '07933', '05015', '07935', '05017', '05016', '05019', '06586', '05332', '05333', '05334', '05335', '05336', '05337', '05338', '05339', '06084', '06128', '06082', '06081', '06080', '21457', '21456', '21459', '21458', '22980', '22981', '22982', '22983', '22984', '22985', '22989', '21244', '27013', '21245', '22974', '36034', '16526', '05345', '05344', '06012', '06013', '05341', '06015', '06016', '06017', '06018', '06019', '06391', '05349', '06396', '06548', '06549', '06497', '36629', '36626', '36621', '36623', '21035', '21036', '07017', '06734', '06309', '06062', '07909', '05048', '05049', '05046', '05047', '05044', '05045', '05042', '05043', '05040', '05041', '07083', '21229', '21246', '22945', '22946', '22947', '22943', '21490', '22949', '36401'])
curry	set(['02015', '06624', '22989'])
caviar	set(['15012'])
lentils	set([])
Swisschard	set([])
molasses	set([])
mutton	set(['04606', '35144', '35145', '35146', '35141', '35143', '04520'])
margarine	set(['04629', '04628', '04630', '04684', '04683', '04668', '04665', '18019', '04073', '11383', '22999', '11930', '04618', '18165', '19371', '18208', '19372', '04610', '04611', '04617', '04691', '04692', '18023', '04696', '32021', '21363', '21365', '32001', '32003', '11371', '22960', '11929', '11844', '11843'])
sauerkraut	set(['43350', '11439'])
tarragon	set(['02041'])
strawberry	set(['08553', '18497', '08698', '08453', '09318', '09319', '09316', '09317', '18362', '16253', '21334', '01280', '01281', '14617', '14609', '21034', '09516', '08662', '19878', '19137', '28185', '18938', '18939', '28181', '18246', '08463', '09320', '14621', '18488', '18489', '18547', '09140', '19271', '08542', '19884', '14618', '19112', '14087', '19273', '28177', '28024', '28008', '03994', '28002', '14428', '18431', '01276'])
oyster	set(['15168', '15169', '23464', '28282', '06176', '21048', '05652', '05651', '06448', '23428', '23429', '23440', '05631', '11987', '15245', '15244', '15246', '18426', '18425', '18228', '15171', '15170', '15167', '06248', '06048', '15231', '11437'])
lobster	set(['15148', '15228', '15154', '15147'])
meatball	set(['43132', '16602', '22966', '06228', '22963', '07972', '22961', '36038', '22940', '22942', '36032', '22912'])
whippedcream	set([])
crust	set(['21484', '21485', '43595', '21480', '21482', '21483', '28111', '21273', '21272', '21271', '21277', '21276', '21275', '21274', '18332', '18333', '21279', '21278', '18336', '21491', '18334', '18335', '21505', '18399', '21492', '18446', '21282', '21283', '21280', '21281', '21286', '21287', '21284', '21285', '18401', '21288', '21289', '28266', '21224', '21225', '21226', '21227', '28112', '21494', '21303', '21302', '21301', '21498', '21304', '21493', '18945', '21300', '22903', '21497', '21496', '21495', '18402', '21479', '21478', '18943', '18942', '21512', '18947', '21511', '18948', '21473', '18946', '21475', '21474', '21477', '21476', '21291', '21290', '21293', '21292', '21295', '21294', '21297', '21296', '21299', '21298'])
iceberglettuce	set([])
fillet	set(['21102', '43134', '21047', '05623', '21244', '36029', '36033', '05625', '05624'])
maize	set(['08648'])
chips	set([])
tapioca	set(['19209', '19199', '03136', '03137', '03156', '03157', '03135', '03134', '20068', '19218', '03280', '03162', '43546', '03129', '03128', '19234', '03118', '03140', '19198', '03160', '19709'])
mug	set([])
granola	set(['08284', '08277', '21381', '28002', '28001', '08587', '08218', '08220', '08037', '08189', '08054', '21463', '18260', '18261', '08627', '25036'])
chickpeas	set([])
barley	set(['06042', '06733', '20130', '03181', '06442', '27013', '20006', '20005', '20004', '06415', '06146', '20131', '03681'])
wok	set(['04643', '04650', '04644'])
foodstuffs	set([])
yogurt	set(['08553', '42185', '42119', '04627', '04626', '08531', '25054', '16253', '16252', '16251', '16250', '16257', '16256', '16255', '16254', '01281', '01217', '16259', '16258', '19293', '03965', '01184', '42186', '21463', '19079', '19393', '01222', '01220', '01221', '01121', '01120', '01122', '42120', '01203', '03956', '21380', '21381', '25043', '03302', '43523', '43261', '42150', '01187', '01256', '43536', '43537', '01116', '01117', '01118', '01119', '43476', '43539', '01235', '01278', '01231', '01216', '42187', '01280', '01219', '01218', '01275', '01276'])
scallops	set([])
pattypansquash	set([])
cassava	set(['11134', '25050'])
brunch	set([])
squid	set(['15176', '15175'])
Goudacheese	set([])
basil	set(['02003', '16554', '27019', '06239', '06233', '16585', '02044'])
cloves	set([])
crunch	set(['25005', '08550', '08554', '08353', '08579', '08085', '25031', '36001', '08704', '08646', '08645', '08012', '08629', '08625', '19154', '08059', '01264', '42297', '08681', '08544', '08272', '08346', '08347', '08010', '08309', '08011', '08611', '08670', '08667', '08679', '08380', '08637', '08634', '19145'])
sodabread	set([])
stringbean	set([])
hash	set(['22908', '31028', '11393', '11392', '11391', '11390', '31022', '31021', '21387', '11370', '36039', '21026', '21319', '21144', '36030'])
Danishpastry	set([])
sundae	set(['21033', '21032', '21034', '28178', '21336', '21337', '21334', '21335', '43269'])
omnivore	set([])
mussels	set([])
peach	set(['03130', '03131', '09239', '09237', '09236', '08692', '09097', '03228', '03229', '16255', '14614', '03227', '09238', '09438', '09432', '09431', '09248', '09099', '09098', '09240', '09106', '09105', '09104', '09244', '09245', '09101', '09100', '14620', '03168', '03161', '03230', '14086', '09241', '18323', '09242', '43536', '09096', '09407', '09103', '09102', '09246', '09370', '09243', '09247', '09251', '09250'])
caramel	set(['19364', '28289', '19187', '21335', '25015', '19076', '19074', '19231', '19232', '43031', '43506', '19152', '19256', '21032', '21343', '19094', '19160', '28029', '08596', '28005', '19895', '19436', '28081'])
punch	set(['14065', '03267', '14405', '14406', '14268', '14269', '14264', '14267'])
recipe	set(['15142', '18071', '18077', '18237', '18116', '18294', '18134', '18139', '18293', '18032', '16565', '04133', '18336', '22120', '18378', '18119', '21426', '21427', '21424', '21425', '18269', '04135', '21428', '18637', '01164', '18019', '18154', '19409', '18401', '18402', '18016', '06142', '18306', '18165', '18304', '18189', '18302', '18208', '18078', '18184', '18309', '18328', '18024', '18101', '18126', '18073', '18102', '18321', '04146', '18322', '18325', '18327', '18146', '21435', '21434', '21437', '21436', '18377', '11843', '15030', '18367', '11373', '18399', '18278', '18390', '18282', '18273', '18396', '18270'])
vitamin	set(['19269', '43404', '16168', '19274', '01081', '19272', '19273', '43345', '01254', '01253', '01252', '01097', '01096', '01091', '01090', '01092', '01154', '44048', '01151', '01152', '01153', '03139', '16231', '14323', '14645', '01086', '01087', '01084', '01085', '01082', '01083', '01080', '19703', '25043', '01155', '14538', '14605', '16155', '16156', '16139', '19919', '14639', '14633', '16230', '14636', '14635', '14634', '01106', '01104', '01103', '01102', '01222', '01220', '01221', '04690', '04691', '04692', '04693', '04694', '04695', '04696', '04697', '16222', '16227', '16225', '01212', '01211', '01217', '01216', '01215', '01214', '01219', '01218', '09506', '14651', '09210', '01042', '01046', '14156', '14154', '09510', '14646', '14647', '25003', '14648', '01079', '01077', '16228', '01174', '01175', '16229'])
water	set([])
pumpernickel	set(['43441', '18044', '18045', '18221'])
mashedpotatoes	set([])
tortilla	set(['04654', '25028', '35186', '19857', '18450', '35239', '06543', '19058', '18970', '43566', '19056', '19057', '19424', '18449', '06537', '28295', '20086', '19444', '18364', '43364', '18363', '18616', '19063', '27018', '19433', '35143', '19833'])
pate	set(['07053', '05282', '07942', '07055', '07054'])
stew	set(['35236', '35182', '03072', '35048', '03052', '06448', '17061', '17060', '17140', '17141', '43136', '23094', '23091', '23090', '23093', '23092', '23095', '22905', '17059', '06248', '06048', '35144', '35145', '35146', '35024', '35148'])
pancake	set(['19360', '18499', '18295', '18294', '18297', '18291', '18290', '18293', '18292', '18299', '19113', '28259', '18300', '18936', '19720', '28305', '18288', '18289', '19128', '19129', '11672', '28006', '28005', '28004', '28003', '18390'])
saffron	set(['02037'])
pasta	set(['20098', '06932', '06931', '06734', '03077', '20091', '20092', '20093', '20094', '20095', '20096', '20097', '06357', '32010', '32017', '27021', '22914', '22522', '22994', '06239', '06234', '06235', '06236', '06237', '06231', '06232', '06233', '22944', '22945', '32008', '32009', '22943', '22901', '21055', '22987', '06223', '06222', '06221', '06220', '22984', '06226', '06225', '06224', '27033', '06240', '06229', '06228', '06976', '06400', '36057', '06995', '06994', '36059', '36058'])
sweetpotato	set([])
frosting	set(['19244', '19247', '19246', '19241', '19240', '19375', '18096', '18095', '18358', '18139', '18357', '04586', '19372', '19230', '19409', '28296', '19371', '28291', '18105', '18127', '18102', '18141', '18140', '18146', '19227', '19226', '18101', '19228'])
acornsquash	set([])
sprouts	set([])
mozzarella	set(['42304', '43597', '36004', '36012', '28246', '36008', '22963', '22961', '01026', '01027', '01161', '01271', '36611', '01028', '01029'])
raspberry	set(['03152', '03153', '08677', '18486', '35202', '18544', '09306', '09518', '09302', '18435', '09304', '16254', '18246'])
kitchen	set(['28217', '28276', '28218', '28219'])
