munch	set(['28034', '19295'])
wheat	set(['18385', '08085', '20645', '48052', '08082', '20076', '20077', '18950', '20075', '20072', '28051', '20071', '08489', '08488', '18958', '20078', '08363', '08365', '08366', '18388', '18428', '08546', '20635', '18968', '18967', '18966', '20138', '28137', '08081', '08169', '08028', '18983', '18982', '04038', '18979', '08157', '20629', '20628', '20624', '20623', '20074', '16123', '18068', '18347', '18066', '18064', '20073', '20024', '08148', '20581', '08144', '08145', '08146', '08147', '08575', '18055', '08452', '08574', '20630', '20481', '20634', '08577', '20636', '20139', '08576', '08084', '28148', '18065', '18264', '18265', '08462', '18222', '20087', '20086', '20084', '20083', '20082', '20081', '20080', '18284', '20649', '16424', '20646', '20641', '20640', '28304', '20324', '08597', '28308', '28285', '28284', '28287', '28286', '08573', '18233', '18232', '08578', '18234', '08183', '08218', '08504', '08054', '28070', '43393', '28295', '20381', '20129', '03184', '43245', '08191', '08104', '08105', '08106', '08107', '28157', '08102', '08103'])
olive	set(['09193', '09194', '09195', '07223', '44005', '36042', '36631', '28149', '36047', '36054', '07051', '36058', '04708', '04053'])
fennel	set(['11957', '02018'])
dough	set(['18013', '18012', '18338', '18358', '18015', '18014', '18357', '28165', '18635', '18634', '18633', '18631', '18630', '18164', '18163', '18188', '18206', '18187', '18205', '18183', '18182', '18629', '18017'])
artichoke	set(['22994', '11007', '11009', '11008', '11010', '11702', '11703'])
oven	set(['11403', '05320', '11296', '07260', '11409', '07256', '07251', '07250', '07210', '07079', '07259', '11840'])
dish	set(['18945', '18947', '21291', '21290', '21281', '21278', '21140', '21495'])
barbecue	set(['06150', '05320', '07001', '06307', '22972', '43112', '27058', '27055', '27057', '27056', '05312', '05313'])
appetite	set([])
guava	set(['18959', '09143', '09435', '09140', '09325', '03160', '09139', '14613'])
spuds	set([])
milk	set(['14177', '19132', '03689', '01060', '01087', '03681', '03686', '06359', '06358', '11380', '11381', '03965', '11383', '11385', '06210', '11387', '12176', '25020', '18223', '19157', '19319', '19152', '14351', '19279', '42290', '01081', '04028', '19170', '11379', '11378', '14182', '11371', '01095', '01094', '01097', '01096', '01091', '01090', '01093', '01092', '01154', '01155', '01089', '01151', '18396', '01153', '19209', '19208', '19203', '19205', '19204', '19207', '03704', '03682', '18071', '18073', '14054', '01244', '42189', '42185', '06230', '19896', '01086', '19212', '01084', '01085', '01082', '01083', '01080', '19213', '11934', '01088', '11930', '19199', '06216', '19219', '07037', '14043', '19191', '19190', '01214', '19195', '11382', '19214', '25009', '19146', '06249', '06248', '06243', '06211', '01037', '18024', '06246', '01235', '11929', '42131', '01231', '01152', '18278', '14016', '42139', '19141', '18273', '19189', '14036', '19185', '01077', '01026', '01027', '01076', '01187', '01184', '01028', '03693', '14634', '01107', '01106', '01105', '01104', '01103', '01102', '06253', '06256', '01109', '01108', '18269', '01224', '01222', '01223', '03712', '01221', '03711', '19331', '14318', '01059', '14316', '14310', '14311', '14312', '01110', '01111', '01116', '14421', '01118', '22960', '01212', '01211', '19223', '19221', '08510', '19024', '19026', '19323', '19321', '19249', '19325', '14245', '14558', '12117', '12118', '19134', '14557', '19231', '19232', '19236', '01202', '01230', '19256', '19254', '01036', '19252', '43369', '43543', '19093', '14169', '14083', '18023', '01079', '01078', '03685', '03690', '07077', '07076', '03694', '01071', '03696', '21412', '06201', '19120', '19121', '19122', '19123', '19126', '19127', '01174', '01175', '18282', '03956', '11657'])
digest	set([])
limabeans	set([])
toast	set(['21023', '08679', '18222', '21024', '28011', '28101', '08579', '21386', '18224', '18269', '18220', '28110', '18424', '28014', '08634', '18268', '08272', '18221'])
splitpeas	set([])
preserves	set([])
sesameseed	set([])
grape	set(['14030', '03265', '19873', '14282', '09512', '09432', '09431', '09099', '09098', '09129', '09097', '09096', '44074', '09101', '09100', '11975', '11974', '14277', '14142', '28176', '09132', '09133', '09130', '09131', '09134', '09135', '09444', '09443'])
caramelapple	set([])
nectarine	set(['09191'])
grub	set([])
shishkebab	set([])
menu	set(['36017', '36015', '36003', '36005', '36010', '36009', '36614', '36604', '36613', '36609'])
maincourse	set([])
comestibles	set([])
avocado	set(['09039', '09038', '09037', '04581'])
burrito	set(['21065', '21064', '21340', '21069', '21060', '21063', '21264', '21066', '21068', '22918', '22917', '21265', '22928', '21267', '21062', '21266', '21067', '21061'])
quinoa	set(['16610', '20137', '20035'])
relish	set(['11944', '11945', '09082', '11958'])
celery	set(['06334', '11144', '02007', '11143', '06210', '06218', '06010', '11557', '44055', '06987', '06410', '11764'])
bakedAlaska	set([])
lox	set(['15179'])
jam	set(['43028', '19719', '19297'])
curds	set([])
fig	set(['18170', '09089', '09095', '09094', '09091', '09090', '09093', '09092'])
milkshake	set(['28182', '43078', '28193', '28181'])
